rank,title,author,rating,ratings_count,score,votes,book_url,page
873,Segment of One,Michael Grigsby,4.36,192.0,852,9.0,https://www.goodreads.com/book/show/60682254-segment-of-one,9
875,The Wrong Boy,Willy Russell,4.12,2025.0,851,9.0,https://www.goodreads.com/book/show/839356.The_Wrong_Boy,9
875,"Primal Fear (Vail/Stampler, #1)",William Diehl,4.24,10409.0,851,9.0,https://www.goodreads.com/book/show/187650.Primal_Fear,9
877,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.75,425668.0,849,12.0,https://www.goodreads.com/book/show/37781.Things_Fall_Apart,9
877,Strangers and Sojourners: A Big Percy Pletcher thriller,Paul A. Barra,4.33,998.0,849,10.0,https://www.goodreads.com/book/show/214173408-strangers-and-sojourners,9
879,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,4.16,94111.0,847,9.0,https://www.goodreads.com/book/show/827.The_Diamond_Age,9
880,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.2,830248.0,846,11.0,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,9
881,The Maltese Falcon,Dashiell Hammett,3.86,118930.0,845,10.0,https://www.goodreads.com/book/show/29999.The_Maltese_Falcon,9
881,"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,833755.0,845,11.0,https://www.goodreads.com/book/show/32542.A_Time_to_Kill,9
883,Howl and Other Poems,Allen Ginsberg,4.13,121038.0,843,10.0,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems,9
883,"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine,4.1,204294.0,843,10.0,https://www.goodreads.com/book/show/33128934-stillhouse-lake,9
883,Anya,Dennis K. Hausker,4.37,424.0,843,10.0,https://www.goodreads.com/book/show/123286499-anya,9
886,High-Rise,J.G. Ballard,3.65,43889.0,841,10.0,https://www.goodreads.com/book/show/12331767-high-rise,9
886,The Horror at Murden Cove (A Thomas Austin Crime Thriller #4),D.D. Black,4.34,9121.0,841,9.0,https://www.goodreads.com/book/show/63629751-the-horror-at-murden-cove,9
888,The Passenger,Lisa Lutz,3.71,46727.0,837,9.0,https://www.goodreads.com/book/show/26154406-the-passenger,9
888,"Blood Work (Harry Bosch Universe, #7)",Michael Connelly,4.16,63949.0,837,11.0,https://www.goodreads.com/book/show/32504.Blood_Work,9
890,Thirteen for Dinner,Kathleen Lopez,4.29,304.0,836,9.0,https://www.goodreads.com/book/show/55921885-thirteen-for-dinner,9
891,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,4.24,280279.0,834,9.0,https://www.goodreads.com/book/show/386372.Mort,9
892,"My Bully, My Aunt, & Her Final Gift",Harold Phifer,4.43,1034.0,832,9.0,https://www.goodreads.com/book/show/226183698-my-bully-my-aunt-her-final-gift,9
893,"Wonder (Wonder, #1)",R.J. Palacio,4.35,1224146.0,829,10.0,https://www.goodreads.com/book/show/11387515-wonder,9
894,Caught,Harlan Coben,4.01,86033.0,826,10.0,https://www.goodreads.com/book/show/6681454-caught,9
894,Heart of a Dog,Mikhail Bulgakov,4.08,79159.0,826,9.0,https://www.goodreads.com/book/show/113205.Heart_of_a_Dog,9
894,"2nd Chance (Women's Murder Club, #2)",James Patterson,4.09,128096.0,826,11.0,https://www.goodreads.com/book/show/13136.2nd_Chance,9
897,Coma,Robin Cook,3.88,53901.0,823,11.0,https://www.goodreads.com/book/show/20454107-coma,9
898,"Tempted (House of Night, #6)",P.C. Cast,3.95,175690.0,821,10.0,https://www.goodreads.com/book/show/6262365-tempted,9
898,Watchers,Dean Koontz,4.19,174508.0,821,11.0,https://www.goodreads.com/book/show/32423.Watchers,9
898,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.94,173408.0,821,9.0,https://www.goodreads.com/book/show/2052.The_Big_Sleep,9
898,"Betrayal In Blue (Zachary Blake Legal Thriller, #3)",Mark M. Bello,4.31,355.0,821,9.0,https://www.goodreads.com/book/show/41591675-betrayal-in-blue,10
902,Go Ask Alice,Beatrice Sparks,3.73,296409.0,819,9.0,https://www.goodreads.com/book/show/46799.Go_Ask_Alice,10
902,Her Own Legacy (Château de Verzat #1),Debra Borchert,4.42,262.0,819,9.0,https://www.goodreads.com/book/show/62110098-her-own-legacy,10
904,The Turn of the Key,Ruth Ware,3.9,339914.0,818,9.0,https://www.goodreads.com/book/show/42080142-the-turn-of-the-key,10
905,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather Morris,4.32,1216573.0,816,12.0,https://www.goodreads.com/book/show/38359036-the-tattooist-of-auschwitz,10
906,Novel with Cocaine,M. Agueev,3.85,3853.0,814,9.0,https://www.goodreads.com/book/show/250113.Novel_with_Cocaine,10
907,LOOP,William Kely McClung,4.26,943.0,813,9.0,https://www.goodreads.com/book/show/60570739-loop,10
908,You Belong To Me,Mary Higgins Clark,3.92,30274.0,812,11.0,https://www.goodreads.com/book/show/43342.You_Belong_To_Me,10
909,Darkness at Noon,Arthur Koestler,4.12,35030.0,809,9.0,https://www.goodreads.com/book/show/30672.Darkness_at_Noon,10
910,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.82,989182.0,808,10.0,https://www.goodreads.com/book/show/11857408-fifty-shades-darker,10
910,"Faithful Place (Dublin Murder Squad, #3)",Tana French,4.0,136575.0,808,10.0,https://www.goodreads.com/book/show/7093952-faithful-place,10
912,Dracula,Bram Stoker,4.03,1537983.0,805,13.0,https://www.goodreads.com/book/show/17245.Dracula,10
912,Franz Kafka's The Castle,David Fishelson,4.1,28980.0,805,10.0,https://www.goodreads.com/book/show/17689.Franz_Kafka_s_The_Castle,10
912,The Mustachioed Woman of Shanghai,Isham Cook,4.42,183.0,805,9.0,https://www.goodreads.com/book/show/55760968-the-mustachioed-woman-of-shanghai,10
915,Frisk,Dennis Cooper,3.66,4469.0,803,9.0,https://www.goodreads.com/book/show/51590.Frisk,10
915,"Child 44 (Leo Demidov, #1)",Tom Rob Smith,4.11,91889.0,803,10.0,https://www.goodreads.com/book/show/2161733.Child_44,10
915,"Fool Moon (The Dresden Files, #2)",Jim Butcher,3.97,218127.0,803,9.0,https://www.goodreads.com/book/show/91477.Fool_Moon,10
918,The Gift of the Magi and Other Short Stories,O. Henry,4.12,6362.0,802,9.0,https://www.goodreads.com/book/show/31626.The_Gift_of_the_Magi_and_Other_Short_Stories,10
919,Piercing,Ryū Murakami,3.68,21914.0,801,9.0,https://www.goodreads.com/book/show/14288.Piercing,10
919,"Legend (Legend, #1)",Marie Lu,4.15,573824.0,801,9.0,https://www.goodreads.com/book/show/9275658-legend,10
921,Moonlight on Diamonds,Lydia Storm,3.91,43.0,800,8.0,https://www.goodreads.com/book/show/6492348-moonlight-on-diamonds,10
921,The Carer,Scott L. Nelson,4.24,109.0,800,8.0,https://www.goodreads.com/book/show/22085174-the-carer,10
921,"Fox, Badger Hedgehog, and Me",Peter Mellors,4.43,14.0,800,8.0,https://www.goodreads.com/book/show/245869195-fox-badger-hedgehog-and-me,10
924,"Split Second (Sean King & Michelle Maxwell, #1)",David Baldacci,4.07,89958.0,799,10.0,https://www.goodreads.com/book/show/204276.Split_Second,10
924,Uncanny Alliance (Jack Ludefance PI Series),Behcet Kaya,4.37,1097.0,799,9.0,https://www.goodreads.com/book/show/211159893-uncanny-alliance,10
926,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17,75176.0,798,11.0,https://www.goodreads.com/book/show/32559.The_Fall_of_the_House_of_Usher_and_Other_Tales,10
926,"Reality of Life (Perception, #2)",Shandi Boyes,4.47,377.0,798,8.0,https://www.goodreads.com/book/show/29562892-reality-of-life,10
926,Where the Wild Things Are,Maurice Sendak,4.26,1087563.0,798,10.0,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,10
929,Zero Alternative,Luca Pesaro,3.96,91.0,797,8.0,https://www.goodreads.com/book/show/21445001-zero-alternative,10
930,The Testament,John Grisham,3.93,129872.0,794,9.0,https://www.goodreads.com/book/show/5348.The_Testament,10
931,A Monster Calls,Patrick Ness,4.34,296880.0,793,10.0,https://www.goodreads.com/book/show/25480342-a-monster-calls,10
931,"Females of Valor (The Viking's Kurdish Love, #2)",Widad Akreyi,4.71,111.0,793,8.0,https://www.goodreads.com/book/show/57550595-females-of-valor,10
933,"Zoroastrians' Fight for Survival (The Viking's Kurdish Love, #1)",Widad Akreyi,4.67,121.0,792,8.0,https://www.goodreads.com/book/show/57550531-zoroastrians-fight-for-survival,10
934,Identical,Ellen Hopkins,4.29,67859.0,791,9.0,https://www.goodreads.com/book/show/2241059.Identical,10
934,The Idiot,Fyodor Dostoevsky,4.21,231298.0,791,9.0,https://www.goodreads.com/book/show/12505.The_Idiot,10
934,"Eeny Meeny (Helen Grace, #1)",M.J. Arlidge,3.95,58057.0,791,9.0,https://www.goodreads.com/book/show/23398806-eeny-meeny,10
934,The Daughter of Kurdland: A Life Dedicated to Humankind,Widad Akreyi,4.2,409.0,791,8.0,https://www.goodreads.com/book/show/55506538-the-daughter-of-kurdland,10
934,"Dune (Dune, #1)",Frank Herbert,4.29,1704631.0,791,10.0,https://www.goodreads.com/book/show/44767458-dune,10
939,The Book of Illusions,Paul Auster,3.9,27401.0,790,9.0,https://www.goodreads.com/book/show/50618.The_Book_of_Illusions,10
940,"One Shot (Jack Reacher, #9)",Lee Child,4.24,129468.0,789,10.0,https://www.goodreads.com/book/show/220968.One_Shot,10
940,"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,185112.0,789,9.0,https://www.goodreads.com/book/show/21611.The_Forever_War,10
940,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06,184835.0,789,10.0,https://www.goodreads.com/book/show/40024.The_Alienist,10
943,"Listen To Me (Rizzoli & Isles, #13)",Tess Gerritsen,4.15,24343.0,788,9.0,https://www.goodreads.com/book/show/58885794-listen-to-me,10
944,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9,226045.0,787,9.0,https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter,10
945,The Neverending Story,Michael Ende,4.18,227218.0,785,10.0,https://www.goodreads.com/book/show/27712.The_Neverending_Story,10
945,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,4.0,144350.0,785,9.0,https://www.goodreads.com/book/show/23168277-the-sympathizer,10
947,"Roses Are Red (Alex Cross, #6)",James Patterson,4.11,78676.0,784,9.0,https://www.goodreads.com/book/show/79378.Roses_Are_Red,10
948,The Gates to Love and War,Janie Pendleton,4.59,29.0,783,8.0,https://www.goodreads.com/book/show/3314550-the-gates-to-love-and-war,10
948,Her Fearful Symmetry,Audrey Niffenegger,3.27,96824.0,783,10.0,https://www.goodreads.com/book/show/6202342-her-fearful-symmetry,10
950,Rose Madder,Stephen King,3.76,127115.0,780,10.0,https://www.goodreads.com/book/show/10619.Rose_Madder,10
951,Train Dreams,Denis Johnson,3.85,56282.0,779,10.0,https://www.goodreads.com/book/show/12991188-train-dreams,10
951,Found,Erin Kinsley,4.1,29807.0,779,8.0,https://www.goodreads.com/book/show/44706515-found,10
953,Looking for Alaska,John Green,3.96,1785037.0,778,10.0,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,10
954,Delta of Venus,Anaïs Nin,3.59,26656.0,777,9.0,https://www.goodreads.com/book/show/11041.Delta_of_Venus,10
955,The Largesse of the Sea Maiden,Denis Johnson,3.94,10090.0,776,9.0,https://www.goodreads.com/book/show/35135343-the-largesse-of-the-sea-maiden,10
956,The Crying of Lot 49,Thomas Pynchon,3.69,101821.0,773,9.0,https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49,10
957,A Twist in the Tale,Jeffrey Archer,3.89,13313.0,772,9.0,https://www.goodreads.com/book/show/78976.A_Twist_in_the_Tale,10
957,If We Were Villains,M.L. Rio,4.07,441033.0,772,10.0,https://www.goodreads.com/book/show/30319086-if-we-were-villains,10
959,The Deadly Caress,O.N. Stefan,4.18,264.0,771,8.0,https://www.goodreads.com/book/show/20967943-the-deadly-caress,10
959,Victorian Songlight: The Birthings of Magic & Mystery,Kathy Martone,4.29,386.0,771,9.0,https://www.goodreads.com/book/show/51054900-victorian-songlight,10
961,The Fury,Alex Michaelides,3.35,252920.0,770,8.0,https://www.goodreads.com/book/show/123206645-the-fury,10
962,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.9,1109768.0,768,10.0,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,10
962,"Doctor Sleep (The Shining, #2)",Stephen King,4.13,307717.0,768,9.0,https://www.goodreads.com/book/show/16130549-doctor-sleep,10
964,Wired,Martha Carr,3.85,55.0,767,8.0,https://www.goodreads.com/book/show/2684521-wired,10
965,For the Sake of a Child,Stevie Turner,4.15,201.0,766,8.0,https://www.goodreads.com/book/show/23207554-for-the-sake-of-a-child,10
965,The Drowning Kind,Jennifer McMahon,3.81,32148.0,766,8.0,https://www.goodreads.com/book/show/54303987-the-drowning-kind,10
967,Walk Two Moons,Sharon Creech,4.0,175713.0,764,9.0,https://www.goodreads.com/book/show/53496.Walk_Two_Moons,10
968,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.17,1872202.0,763,9.0,https://www.goodreads.com/book/show/33648131-the-notebook,10
969,EVO,Diane May,4.03,907.0,762,8.0,https://www.goodreads.com/book/show/42653129-evo,10
969,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.06,388334.0,762,9.0,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas,10
969,Sadie,Courtney Summers,4.02,134094.0,762,9.0,https://www.goodreads.com/book/show/34810320-sadie,10
972,Velocity,Dean Koontz,3.87,67988.0,761,9.0,https://www.goodreads.com/book/show/32421.Velocity,10
973,Don't Look Back,Jennifer L. Armentrout,4.09,35746.0,759,9.0,https://www.goodreads.com/book/show/18296030-don-t-look-back,10
973,But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman,3.66,19098.0,759,9.0,https://www.goodreads.com/book/show/27068734-but-what-if-we-re-wrong-thinking-about-the-present-as-if-it-were-the-pa,10
973,Not What She Seems,Yasmin Angoe,3.74,20327.0,759,8.0,https://www.goodreads.com/book/show/203688844-not-what-she-seems,10
976,Anna Karenina,Leo Tolstoy,4.11,966080.0,758,10.0,https://www.goodreads.com/book/show/15823480-anna-karenina,10
976,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.15,4570697.0,758,10.0,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,10
976,The Final Steps: A Harbor Springs Cozy Legal Mystery,Mark M. Bello,4.33,404.0,758,9.0,https://www.goodreads.com/book/show/123270513-the-final-steps,10
979,"Shattered Lives: A Brutal Murder, A Cop On The Edge",Peter Seymour,4.28,333.0,755,9.0,https://www.goodreads.com/book/show/198962087-shattered-lives,10
980,The Drowned World,J.G. Ballard,3.47,21554.0,754,9.0,https://www.goodreads.com/book/show/16234584-the-drowned-world,10
980,"Cruel & Unusual (Kay Scarpetta, #4)",Patricia Cornwell,4.13,118797.0,754,9.0,https://www.goodreads.com/book/show/85379.Cruel_Unusual,10
982,The Georgia Express: A Tale of the Civil War,Phillip Urlevich,4.14,63.0,751,8.0,https://www.goodreads.com/book/show/55658356-the-georgia-express,10
982,Stranger on the Shore,William J. Borak,4.41,304.0,751,8.0,https://www.goodreads.com/book/show/123201095-stranger-on-the-shore,10
984,Kafka on the Shore,Haruki Murakami,4.11,575207.0,750,9.0,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,10
985,The Martian,Andy Weir,4.42,1375864.0,748,10.0,https://www.goodreads.com/book/show/18007564-the-martian,10
986,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,4.22,235306.0,747,9.0,https://www.goodreads.com/book/show/40611999-career-of-evil,10
987,Insomnia,Stephen King,3.83,172309.0,746,9.0,https://www.goodreads.com/book/show/10585.Insomnia,10
988,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.85,28731.0,745,9.0,https://www.goodreads.com/book/show/597.Killing_Yourself_to_Live,10
989,The Hundred Secret Senses,Amy Tan,4.01,47249.0,744,10.0,https://www.goodreads.com/book/show/690866.The_Hundred_Secret_Senses,10
990,Lullaby,Chuck Palahniuk,3.74,104977.0,743,9.0,https://www.goodreads.com/book/show/22206.Lullaby,10
991,The Fall,Albert Camus,4.02,145447.0,741,9.0,https://www.goodreads.com/book/show/11991.The_Fall,10
991,The Sluts,Dennis Cooper,3.77,12120.0,741,9.0,https://www.goodreads.com/book/show/51587.The_Sluts,10
991,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.33,355284.0,741,9.0,https://www.goodreads.com/book/show/7315573-fall-of-giants,10
994,The Dragon Storm - Gates,Anthony DiPaolo,4.38,811.0,740,8.0,https://www.goodreads.com/book/show/62606951-the-dragon-storm---gates,10
995,Angels,Denis Johnson,3.99,6469.0,736,9.0,https://www.goodreads.com/book/show/9903.Angels,10
996,My Lovely Wife,Samantha Downing,3.82,174023.0,735,8.0,https://www.goodreads.com/book/show/39796904-my-lovely-wife,10
997,Bay of Devils,Grahame Shannon,4.34,173.0,734,8.0,https://www.goodreads.com/book/show/55345948-bay-of-devils,10
998,Lolita,Vladimir Nabokov,3.87,976977.0,731,11.0,https://www.goodreads.com/book/show/7604.Lolita,10
998,Red Russia,Tanya Thompson,4.05,9513.0,731,8.0,https://www.goodreads.com/book/show/36043601-red-russia,10
998,"61 Hours (Jack Reacher, #14)",Lee Child,4.13,104267.0,731,8.0,https://www.goodreads.com/book/show/6977769-61-hours,10
998,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,3.97,150905.0,731,9.0,https://www.goodreads.com/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency,11
1002,Snuff,Chuck Palahniuk,3.22,68005.0,728,8.0,https://www.goodreads.com/book/show/1840511.Snuff,11
1002,Women,Charles Bukowski,3.79,88651.0,728,8.0,https://www.goodreads.com/book/show/38500.Women,11
1002,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,752798.0,728,10.0,https://www.goodreads.com/book/show/6339664-hush-hush,11
1005,The Prince of Tides,Pat Conroy,4.26,221098.0,727,9.0,https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,11
1006,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,4.16,85452.0,726,9.0,https://www.goodreads.com/book/show/8686068-the-devotion-of-suspect-x,11
1006,"Little Women (Little Women, #1)",Louisa May Alcott,4.18,2538455.0,726,10.0,https://www.goodreads.com/book/show/1934.Little_Women,11
1006,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,4.28,3866.0,726,9.0,https://www.goodreads.com/book/show/28009303-dodging-satan,11
1006,Effacement,Hieronymus Hawkes,4.21,456.0,726,8.0,https://www.goodreads.com/book/show/56908595-effacement,11
1010,The Silmarillion,J.R.R. Tolkien,4.04,348780.0,725,10.0,https://www.goodreads.com/book/show/7332.The_Silmarillion,11
1011,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,2933645.0,724,9.0,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,11
1011,Gravity’s Rainbow,Thomas Pynchon,4.02,50124.0,724,8.0,https://www.goodreads.com/book/show/415.Gravity_s_Rainbow,11
1011,A Summer of Good-Byes (Blue Triangle Press Book 2),Fred Misurella,4.32,542.0,724,8.0,https://www.goodreads.com/book/show/34937453-a-summer-of-good-byes,11
1014,Ghost Doors,Frank Lambert,4.3,634.0,723,8.0,https://www.goodreads.com/book/show/199556688-ghost-doors,11
1014,The Heart Is a Lonely Hunter,Carson McCullers,3.99,123862.0,723,10.0,https://www.goodreads.com/book/show/37380.The_Heart_Is_a_Lonely_Hunter,11
1016,"Hunted (House of Night, #5)",P.C. Cast,3.93,192935.0,721,8.0,https://www.goodreads.com/book/show/4134071-hunted,11
1016,"The Thief (The Emperor, the Son and the Thief, #3)",Robert Reid,4.42,850.0,721,10.0,https://www.goodreads.com/book/show/60585355-the-thief,11
1018,Joey and His Friend Water,Ellen J. Lewinberg,4.3,5286.0,719,8.0,https://www.goodreads.com/book/show/153680369-joey-and-his-friend-water,11
1019,The Chamber,John Grisham,3.86,148723.0,718,9.0,https://www.goodreads.com/book/show/5355.The_Chamber,11
1020,"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,138428.0,717,8.0,https://www.goodreads.com/book/show/13831.Alanna,11
1021,The Doors of Perception & Heaven and Hell,Aldous Huxley,3.9,77839.0,716,8.0,https://www.goodreads.com/book/show/5128.The_Doors_of_Perception_Heaven_and_Hell,11
1022,The Demon,Hubert Selby Jr.,3.9,3641.0,715,8.0,https://www.goodreads.com/book/show/46941.The_Demon,11
1022,The Death of Mrs. Westaway,Ruth Ware,3.79,206131.0,715,11.0,https://www.goodreads.com/book/show/36373481-the-death-of-mrs-westaway,11
1022,"F is for Fugitive (Kinsey Millhone, #6)",Sue Grafton,3.95,42539.0,715,9.0,https://www.goodreads.com/book/show/169211.F_is_for_Fugitive,11
1025,All the Missing Girls,Megan Miranda,3.69,253238.0,714,9.0,https://www.goodreads.com/book/show/23212667-all-the-missing-girls,11
1025,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,4.07,205726.0,714,8.0,https://www.goodreads.com/book/show/34507.Equal_Rites,11
1027,"Jaws (Jaws, #1)",Peter Benchley,3.94,185152.0,713,9.0,https://www.goodreads.com/book/show/126232.Jaws,11
1027,The Devil's Trinity,Michael Parker,4.26,5635.0,713,9.0,https://www.goodreads.com/book/show/19485618-the-devil-s-trinity,11
1029,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,98044.0,712,9.0,https://www.goodreads.com/book/show/13376.The_House_of_the_Scorpion,11
1030,"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,427345.0,711,8.0,https://www.goodreads.com/book/show/24337.Ella_Enchanted,11
1031,Fangirl,Rainbow Rowell,3.93,790627.0,710,9.0,https://www.goodreads.com/book/show/16068905-fangirl,11
1032,"Truly, Devious (Truly Devious, #1)",Maureen Johnson,3.87,189752.0,709,9.0,https://www.goodreads.com/book/show/29589074-truly-devious,11
1033,"The Cold Moon (Lincoln Rhyme, #7)",Jeffery Deaver,4.08,22411.0,707,8.0,https://www.goodreads.com/book/show/93808.The_Cold_Moon,11
1033,The Sisters Brothers,Patrick deWitt,3.85,105485.0,707,8.0,https://www.goodreads.com/book/show/9850443-the-sisters-brothers,11
1035,Nutshell,Ian McEwan,3.68,59996.0,706,9.0,https://www.goodreads.com/book/show/30008702-nutshell,11
1035,Little Fires Everywhere,Celeste Ng,4.06,1351617.0,706,8.0,https://www.goodreads.com/book/show/51704136-little-fires-everywhere,11
1037,Why Didn't They Ask Evans?,Agatha Christie,3.91,41941.0,705,8.0,https://www.goodreads.com/book/show/102303.Why_Didn_t_They_Ask_Evans_,11
1037,Joyland,Stephen King,3.92,187030.0,705,8.0,https://www.goodreads.com/book/show/13596166-joyland,11
1037,"The Maid (Molly the Maid, #1)",Nita Prose,3.74,739043.0,705,8.0,https://www.goodreads.com/book/show/55196813-the-maid,11
1037,Neighborhood Lines,Michael Patrick Murphy,4.36,218.0,705,8.0,https://www.goodreads.com/book/show/40610475-neighborhood-lines,11
1041,Timbi's Dream,Max Nowaz,4.35,576.0,704,8.0,https://www.goodreads.com/book/show/28638480-timbi-s-dream,11
1042,Macom Farm,Tom Baldwin,4.32,906.0,701,8.0,https://www.goodreads.com/book/show/73759908-macom-farm,11
1042,"The Dante Club (The Dante Club, #1)",Matthew Pearl,3.42,43283.0,701,8.0,https://www.goodreads.com/book/show/18402.The_Dante_Club,11
1044,The Unwords,Non Nomen,3.65,270.0,700,7.0,https://www.goodreads.com/book/show/13508406-the-unwords,11
1044,"Allegiant (Divergent, #3)",Veronica Roth,3.6,1165156.0,700,10.0,https://www.goodreads.com/book/show/18710190-allegiant,11
1044,A Portrait of the Artist as a Young Man,James Joyce,3.65,168148.0,700,8.0,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,11
1044,"The Likeness (Dublin Murder Squad, #2)",Tana French,4.06,186535.0,700,9.0,https://www.goodreads.com/book/show/5941114-the-likeness,11
1044,Mirage,Nilakshi Garg,4.39,142.0,700,7.0,https://www.goodreads.com/book/show/52341674-mirage,11
1044,Girl on Trial,Kathleen Fine,3.9,990.0,700,7.0,https://www.goodreads.com/book/show/122757692-girl-on-trial,11
1044,Morrow's Con: Opening Gambit (Morrow's Con Stories Book 1),Earl James,4.6,98.0,700,7.0,https://www.goodreads.com/book/show/75355763-morrow-s-con,11
1044,The Hollow Vow,Dr John Pierre Craig,5.0,12.0,700,7.0,https://www.goodreads.com/book/show/246498742-the-hollow-vow,11
1044,Pushing Up Daisies (Ivy Hill Flower Shop Mystery Series: A Cozy Mystery of Blooms and Dooms Book 2),Steven T. Duff,4.83,12.0,700,7.0,https://www.goodreads.com/book/show/247937108-pushing-up-daisies,11
1053,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.09,200767.0,699,9.0,https://www.goodreads.com/book/show/15863832-angelfall,11
1053,Off the Grid: The Catalyst,Brian Courtney,4.19,347.0,699,7.0,https://www.goodreads.com/book/show/24856817-off-the-grid,11
1055,The Roads Chosen,Ben Carlyle,4.21,61.0,698,7.0,https://www.goodreads.com/book/show/208288674-the-roads-chosen,11
1056,"The Tied Man (The Tied Man, #1)",Tabitha McGowan,4.05,5232.0,697,7.0,https://www.goodreads.com/book/show/17237477-the-tied-man,11
1056,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.8,226318.0,697,8.0,https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty,11
1056,Othello,William Shakespeare,3.89,448328.0,697,9.0,https://www.goodreads.com/book/show/12996.Othello,11
1059,"Everything, Everything",Nicola Yoon,3.96,690880.0,696,8.0,https://www.goodreads.com/book/show/18692431-everything-everything,11
1059,"Mrs. McGinty's Dead (Hercule Poirot, #29)",Agatha Christie,3.86,42084.0,696,8.0,https://www.goodreads.com/book/show/121622.Mrs_McGinty_s_Dead,11
1061,"The End of The Computer (Thunder Valley Trilogy, #1)",Andre Mikhailovich Solonitsyn,4.01,73.0,695,7.0,https://www.goodreads.com/book/show/12488314-the-end-of-the-computer,11
1061,Corruption of Power,G.W. Eccles,4.14,80.0,695,7.0,https://www.goodreads.com/book/show/28192570-corruption-of-power,11
1061,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,4.25,192226.0,695,8.0,https://www.goodreads.com/book/show/42283287-lethal-white,11
1064,Imperial Bedrooms,Bret Easton Ellis,3.2,21477.0,694,8.0,https://www.goodreads.com/book/show/7519866-imperial-bedrooms,11
1065,Howards End,E.M. Forster,3.96,96635.0,693,8.0,https://www.goodreads.com/book/show/38374795-howards-end,11
1065,"Case Histories (Jackson Brodie, #1)",Kate Atkinson,3.79,126969.0,693,9.0,https://www.goodreads.com/book/show/16243.Case_Histories,11
1067,"The Keeper of Lost Causes (Department Q, #1)",Jussi Adler-Olsen,4.01,98063.0,692,9.0,https://www.goodreads.com/book/show/10822858-the-keeper-of-lost-causes,11
1067,Just a Typo: The Cancellation of Celebrity Mo Riverlake,John Bennardo,4.3,192.0,692,8.0,https://www.goodreads.com/book/show/56788649-just-a-typo,11
1069,Choke,Chuck Palahniuk,3.71,224526.0,691,8.0,https://www.goodreads.com/book/show/29059.Choke,11
1070,"Turn on a Dime (Kathleen Turner, #1.5)",Tiffany Snow,4.27,3576.0,690,7.0,https://www.goodreads.com/book/show/17902328-turn-on-a-dime,11
